index,loss,time,partition
1,0.125,0.8841607999929693,
2,0.0,0.2772752000018954,
3,0.25,0.2794088999798987,
4,0.0,0.08774499999708496,
5,0.0,0.0837162000243552,
6,0.0,0.026192499994067475,
7,0.125,0.2676015000033658,
8,0.1666666716337204,0.26642359999823384,
9,0.0,0.08781599998474121,
10,0.3333333730697632,0.08551460001035593,
11,0.0,0.026256100012687966,
12,0.0,0.03202760001295246,
13,0.0,0.009622599987778813,
14,0.1666666716337204,0.08644949999870732,
15,0.125,0.2701311999990139,
16,0.0,0.08135870000114664,
17,0.2500000298023224,0.07799629998044111,
18,0.0,0.02981430001091212,
19,0.0,0.027499099989654496,
20,0.0,0.010102599975652993,
21,0.125,0.078687400004128,
22,0.25,0.08026059999247082,
23,0.0,0.026128800003789365,
24,0.5,0.026804799999808893,
25,0.0,0.013785500021185726,
26,0.0,0.012916200008476153,
27,0.0,0.006875399994896725,
28,0.1666666865348816,0.027223900018725544,
29,0.0,0.07698539999546483,
30,0.0,0.027342499990481883,
31,0.0,0.02760690002469346,
32,0.0,0.010630400007357821,
33,0.0,0.010006500000599772,
34,0.0,0.006248999998206273,
35,0.0,0.02818179997848347,
36,0.3333333432674408,0.027856200002133846,
37,0.0,0.017129500018199906,
38,0.5,0.011483500013127923,
39,0.0,0.00452479999512434,
40,0.0,0.008677499979967251,
41,0.0,0.0034360999998170882,
42,0.1666666865348816,0.011386300000594929,
43,0.125,0.2544423999788705,
44,0.0,0.07957520001218654,
45,0.25,0.08186580002075061,
46,0.0,0.029158799996366724,
47,0.0,0.025426900014281273,
48,0.0,0.008974399999715388,
49,0.125,0.08291959998314269,
