index,loss,time,partition
1,0.0,0.01201783400028944,
2,0.0,0.0071621248498559,
3,0.125,0.006623708177357912,
4,0.0,0.0037992079742252827,
5,0.0,0.003734041005373001,
6,0.0,0.0019324999302625656,
7,0.0,0.006200333125889301,
8,0.0,0.00636133411899209,
9,0.0,0.0033212918788194656,
10,0.25,0.0036527500487864017,
11,0.0,0.0019225841388106346,
12,0.0,0.0017226659692823887,
13,0.0,0.000970667228102684,
14,0.0,0.003132457844913006,
15,0.0,0.006105500273406506,
16,0.0,0.003500083927065134,
17,0.125,0.0035345829091966152,
18,0.0,0.00179975014179945,
19,0.0,0.0017370828427374363,
20,0.0,0.0010795840062201023,
21,0.0,0.0032604169100522995,
22,0.0,0.0034166667610406876,
23,0.0,0.0018246248364448547,
24,0.25,0.001735000405460596,
25,0.0,0.0011793328449130058,
26,0.0,0.0010015838779509068,
27,0.0,0.0006212089210748672,
28,0.0,0.001664833165705204,
29,0.0,0.003080124966800213,
30,0.0,0.0017821663059294224,
31,0.0,0.0016791666857898235,
32,0.0,0.0009730826131999493,
33,0.0,0.0010273749940097332,
34,0.0,0.0005356250330805779,
35,0.0,0.0017542080022394657,
36,0.0,0.001724374946206808,
37,0.0,0.0010242918506264687,
38,0.5,0.0012229583226144314,
39,0.0,0.0006315000355243683,
40,0.0,0.0005918326787650585,
41,0.0,0.0004738341085612774,
42,0.0,0.0009095827117562294,
43,0.0,0.005923124961555004,
44,0.0,0.003479624632745981,
45,0.125,0.0031456248834729195,
46,0.0,0.0018678749911487103,
47,0.0,0.0017408751882612705,
48,0.0,0.0010059583000838757,
49,0.0,0.003113791812211275,
