index,loss,time,partition
1,0.0,0.00230133393779397,
2,0.0,0.0075005837716162205,
3,0.125,0.0015069162473082542,
4,0.0,0.0013055838644504547,
5,0.0,0.0016025830991566181,
6,0.0,0.0012284587137401104,
7,0.0,0.0013343747705221176,
8,0.0,0.0013851248659193516,
9,0.0,0.0013182922266423702,
10,0.25,0.0011857077479362488,
11,0.0,0.0009930841624736786,
12,0.0,0.0009118327870965004,
13,0.0,0.0008167498745024204,
14,0.0,0.0010503754019737244,
15,0.0,0.0013691247440874577,
16,0.0,0.001576750073581934,
17,0.125,0.0011841249652206898,
18,0.0,0.001181167084723711,
19,0.0,0.0008804588578641415,
20,0.0,0.0008252500556409359,
21,0.0,0.000998999923467636,
22,0.0,0.0011357092298567295,
23,0.0,0.0009662918746471405,
24,0.25,0.0008887909352779388,
25,0.0,0.0007110838778316975,
26,0.0,0.0006054588593542576,
27,0.0,0.000567540992051363,
28,0.0,0.0007106657139956951,
29,0.0,0.0009696250781416893,
30,0.0,0.0011012079194188118,
31,0.0,0.0009309579618275166,
32,0.0,0.0007005832158029079,
33,0.0,0.0005872920155525208,
34,0.0,0.0005356669425964355,
35,0.0,0.0007918751798570156,
36,0.0,0.0009155408479273319,
37,0.0,0.0008031250908970833,
38,0.5,0.0005591250956058502,
39,0.0,0.00047687534242868423,
40,0.0,0.00047729210928082466,
41,0.0,0.00045508425682783127,
42,0.0,0.000594249926507473,
43,0.0,0.00135404197499156,
44,0.0,0.001269166823476553,
45,0.125,0.0012729582376778126,
46,0.0,0.0011179172433912754,
47,0.0,0.0009294580668210983,
48,0.0,0.0008293753489851952,
49,0.0,0.0010273330844938755,
