index,loss,time,partition
1,0.375,0.012609600002178922,
2,0.375,0.956853100011358,
3,0.125,0.9991226000129245,
4,0.125,0.21115990000544116,
5,0.0,0.21781070000724867,
6,0.0,0.05070930000510998,
7,0.25,0.927562199998647,
8,0.375,0.8475985999975819,
9,0.375,0.18470690000685863,
10,0.125,0.18719729999429546,
11,0.125,0.04812069999752566,
12,0.0625,0.04270719998748973,
13,0.0,0.014849300001515076,
14,0.25,0.21505829997477122,
15,0.25,0.8837708000210114,
16,0.25,0.18408740000450052,
17,0.0,0.18536579998908564,
18,0.0,0.03819920000387356,
19,0.0,0.04651359998388216,
20,0.0,0.016304499993566424,
21,0.375,0.2530477999825962,
22,0.25,0.14896569997654296,
23,0.25,0.03581040000426583,
24,0.125,0.039288500003749505,
25,0.125,0.010280599992256612,
26,0.125,0.01212239998858422,
27,0.1875,0.00586419997853227,
28,0.5,0.03915430000051856,
29,0.625,0.1591296999831684,
30,0.625,0.037914899992756546,
31,0.375,0.04425600002286956,
32,0.375,0.012872999999672174,
33,0.375,0.013250399992102757,
34,0.15625,0.011630399996647611,
35,0.5,0.03719299999647774,
36,0.0,0.03248759999405593,
37,0.0,0.011954500019783154,
38,0.0,0.010810900013893843,
39,0.0,0.006244399992283434,
40,0.0,0.009362599987071007,
41,0.125,0.004023500019684434,
42,0.25,0.016698499995982274,
43,0.0,0.8405254999815952,
44,0.125,0.1812344000209123,
45,0.125,0.2595850999932736,
46,0.1875,0.044456400006311014,
47,0.0625,0.04223010002169758,
48,0.09375,0.010654399986378849,
49,0.125,0.19265030001406558,
