index,loss,time,partition
1,0.0,0.6948144999914803,
2,0.0,0.39998720001312904,
3,0.0,0.35596310000983067,
4,0.0,0.2113054000074044,
5,4.7147274017333984e-05,0.06410389998927712,
6,0.004189752042293549,0.05494400000316091,
7,0.007097350433468819,0.0652064000023529,
8,0.0,0.6842201999970712,
9,0.0,0.3525122000137344,
10,0.0,0.3406601999886334,
11,0.0,0.19544859998859465,
12,0.0013378430157899857,0.059584800008451566,
13,0.004189752042293549,0.053313400014303625,
14,0.007097350433468819,0.05492759999469854,
15,0.0,0.6848252000054345,
16,0.0,0.40582340001128614,
17,0.0,0.3383584000112023,
18,0.0,0.2015129000064917,
19,4.7147274017333984e-05,0.057715100003406405,
20,0.004189752042293549,0.0546256999950856,
21,0.007097350433468819,0.06425709999166429,
22,0.0,0.7262215999944601,
23,0.0,0.36123829998541623,
24,0.0,0.356672099995194,
25,0.0,0.1990104999858886,
26,0.0013378430157899857,0.05237469999701716,
27,0.004189752042293549,0.049550199997611344,
28,0.007097350433468819,0.050813599984394386,
29,0.0,0.639980200008722,
30,0.0,0.32270940000307746,
31,0.0,0.29593359999125823,
32,0.0,0.1675882000126876,
33,0.0013378430157899857,0.037719599989941344,
34,0.004378167912364006,0.02751810001791455,
35,0.007097350433468819,0.03050169997732155,
36,0.0,0.7040816000080667,
37,0.0,0.3397852999914903,
38,0.0,0.3354235000151675,
39,0.0,0.18645429998287,
40,4.7147274017333984e-05,0.04255489999195561,
41,0.004378167912364006,0.023381600010907277,
42,0.007097350433468819,0.032335299998521805,
43,0.0,0.6520771999785211,
44,0.0,0.38107110001146793,
45,0.0,0.2964297999860719,
46,0.0,0.14631739998003468,
47,0.0013378430157899857,0.03607309999642894,
48,0.004189752042293549,0.02135870000347495,
49,0.00879407487809658,0.019141099997796118,
